"NUTS","Country","Population_density","Percentage_early_leavers_from_education","Percentage_of_NEET","Percentage_of_people_studying_or_training","Life_expectancy","Hospital_beds","Air_passengers","Utilised_agricoltural_area","Unemployement_rate","GVA","First_wave_density","Second_wave_density","Latitude","Longitude","Students_in_tertiary_education","Students","Deaths","Discharges_after_respiratory_disease","Health_personnel","Vehicles","Farm_labour_force","Compensation_of_employees","Hours_worked","GDP"
"BE2","BE",1019.31818181818,8.39,9.16363636363636,7.34545454545455,81.9272727272727,2688.02,27022,613190,5.74545454545455,107.033333333333,0.00681261725213341,0.0440825093519285,51.1013,4.9852,3721.02446074374,6863.22724564901,14.3718688404225,1411.95856909281,295.646712120265,63378.864754583,606.114922341526,294.425394568413,68050.3629685472,600.191218413
"BE3","BE",1019.31818181818,8.39,9.16363636363636,7.34545454545455,81.9272727272727,2336.13,8364,692570,5.74545454545455,107.033333333333,0.00648648619111487,0.0778624239802998,50.4595,4.8252,4079.26512900979,7166.03585012422,26.0691415797423,1371.39416147938,326.633007938917,58056.4967182331,449.17161443043,534.058401235022,54816.8191272792,1088.6872139912
"BG31","BG",39,20,27,0.8,73.7,792.68,4001.66666666667,936770,13,115.8,0.00122089054970288,0.02672912572426,43.4201,23.8763,660.434494209353,3596.06513430483,274.435320954135,4234.52634527993,453.061633686142,45295.7260590779,5268.09465541085,206.74936861144,67352.7659556936,540.903953405653
"BG32","BG",53.1,12.7,13.1,1.5,74.6,674.11,4001.66666666667,793430,5.7,109.8,0.00127739349667076,0.028376753507014,43.2223,25.593,3770.89663197362,3258.25845238865,226.689508048355,3899.92889003814,335.509729135691,47144.6118042537,5399.18546770961,238.326976533713,74275.8122697007,589.218436873748
"BG33","BG",63.7,12.5,14.5,1.4,75,536.38,2069,822230,6.1,110.1,0.00215273497897002,0.0288818969152421,43.3648,27.3512,3429.45495042547,3639.86289965076,155.421843069837,2172.30529696065,398.65062116838,44749.7486133186,3850.27084887606,268.009558100057,77098.0883799885,682.035313071026
"BG34","BG",52.5,24.4,21.6,0.7,74.5,670.17,2858,845160,4.6,109.3,0.00145003246705692,0.0325227147341851,42.4799,26.5534,1268.02165772399,4148.16695390654,148.143519038389,2752.22997417282,343.223173178793,43493.8459059774,4561.98766740063,274.04930110388,76399.4141282961,665.80901558907
"BG41","BG",103.7,5.2,6.5,2.7,76,739.34,7078,554470,3.6,118.4,0.00313332633006408,0.0402309168871105,42.3235,23.3357,5401.5738255995,3734.87532589077,64.1477180483799,2775.15685731476,445.69442189604,55422.0583881658,2659.17316856551,604.897195190664,102216.70709463,1477.90579966193
"BG42","BG",63.7,15.1,16.8,1.1,75.6,824.74,4001.66666666667,698880,3.4,115.6,0.00194009796463889,0.0251572908298558,41.7421,25.1669,2677.46315662257,3633.29375884206,104.241342783817,3890.85971435274,404.299638142226,44450.7084307885,7257.77212202214,239.001016614177,77526.4404996339,616.069613188969
"CY00","CY",95.7,11.5,14.4,4.7,82.3,311.47,11261,109330,7.6,121.4,0.00235471647119104,0.0358714196429074,35.0284,33.1739,5654.36005427897,6584.7602209447,75.340792000045,835.355656781212,424.321935124239,78132.5555599349,1863.7282447734,1116.0320043243,89879.7934696314,2509.7696521979
"DE1","DE",468.660526315789,11.45,8.225,7.54594594594595,81.2921052631579,405.276392106162,14477,1422460,3.96428571428571,106.8,0.00353257731212063,0.0243930080319672,48.5342,9.0509,3963.42353853575,3963.42353853575,10.6252155506704,1550.88479619124,414.787078728917,12526.7298477969,604.843395648839,439.255638844417,14826.2186388206,823.429759624559
"DE2","DE",468.660526315789,11.45,8.225,7.54594594594595,81.2921052631579,342.767068877409,53698,3136230,3.96428571428571,106.8,0.00412092067063896,0.0284254076862645,48.9474,11.4213,3963.42353853575,3963.42353853575,8.98639560909818,1550.88479619124,454.988164715224,10594.6227221243,1040.55418405717,371.505399147788,12539.4412414552,696.424984604103
"DE3","DE",4322.9,10.6,10,10.3,81.2921052631579,2074.59052828872,24223,26740,6.1,115.5,0.00285107662070843,0.0316419906739109,52.5005,13.4022,3963.42353853575,3963.42353853575,26.9576897722327,1451.26394914172,549.613011722879,36213.0878642297,86.6605204918066,2182.24080669499,77803.3520180319,4215.09767975995
"DE4","DE",86.7,10.8,6.4,4.9,81.2921052631579,1460.56484865146,11404,1313810,3.9,105.9,0.00148261643138706,0.0280971476585248,53.0836,12.1381,3963.42353853575,3963.42353853575,51.677053705292,1505.81329184069,375.234000808123,64614.7160089663,902.496656281611,1451.66587162897,64376.7598387402,2967.53668771831
"DE5","DE",1744.5,16,9.3,9.4,81.2921052631579,2440.62625323081,2305,8450,5.1,104,0.00275395550805782,0.0226995810347004,53.1065,8.7877,3963.42353853575,3963.42353853575,173.660676275172,2297.26277961603,558.131068317474,46521.2961794005,42.5718068942839,2697.59337171647,86436.0351261447,4958.79929888638
"DE6","DE",2597.5,13.2,8.3,10,81.2921052631579,3305.86223217086,17274,14440,4.7,108.1,0.00322262299749953,0.0237904607544283,53.5392,10.01,3963.42353853575,3963.42353853575,53.571979582656,1793.69041490256,639.219424734998,46993.5628741705,102.314084751791,3217.08125524766,97923.944364957,6716.76267408958
"DE7","DE",468.660526315789,11.45,7.6,7.54594594594595,81.2921052631579,715.437403989276,70436,771890,4,106.8,0.00223056958562868,0.0269824811389168,50.6006,9.0325,3963.42353853575,3963.42353853575,18.7567713749457,1550.88479619124,425.773845116474,40473.4195493696,384.855154514574,775.421218860882,51728.3177058816,1453.60662764435
"DE8","DE",71.3,11.5,6.8,5.2,81.2921052631579,1429.62514614491,126,1340960,4.6,106.6,0.000608156762665891,0.013827793385891,53.7138,12.4675,3963.42353853575,3963.42353853575,84.7539203725053,2577.45293003461,440.198540175035,61345.8546468027,1065.20709043627,1503.96918672403,67644.9409192495,2904.67422571943
"DE9","DE",468.660526315789,11.45,6,7.54594594594595,81.2921052631579,562.790623617881,6287,2590900,4.4,106.8,0.00196694659032567,0.0177897139814712,52.7621,9.1837,3963.42353853575,3963.42353853575,14.7547989527843,1550.88479619124,384.594791238199,13699.1956573302,917.357969017245,609.976203223217,14300.213370483,1143.46297230961
"DEA","DE",468.660526315789,11.45,8.9,7.54594594594595,81.2921052631579,250.664302360621,43439,1463030,5.1,106.8,0.0031057733116453,0.0257972529563212,51.4749,7.5507,3963.42353853575,3963.42353853575,6.57171820346829,1550.88479619124,451.111623353833,17064.6140703343,334.313596517255,271.680538056267,21319.5569386481,509.293041143133
"DEB","DE",468.660526315789,11.45,5.3,7.54594594594595,81.2921052631579,1098.88476382486,1597,706950,2.2,106.8,0.00205818261937325,0.0222589543523625,49.5093,7.9074,3963.42353853575,3963.42353853575,28.8096906417588,1550.88479619124,401.694910700131,26452.9472242014,901.828890425591,1191.0176322924,25160.6352177861,2232.68474195844
"DEC","DE",385.5,11.7,8.225,5.3,81.2921052631579,1814.47276604235,343,77920,3.96428571428571,100.6,0.00307836662150783,0.025349406770988,49.3922,6.957,3963.42353853575,3963.42353853575,141.708219887383,1721.67634187095,486.884516667055,140899.24869018,182.391702393486,2012.87584090174,166763.640032803,3686.59735106451
"DED","DE",468.660526315789,11.45,8.225,7.54594594594595,81.2921052631579,1104.80345544624,4197,906640,3.96428571428571,106.8,0.00141651303508792,0.0452365697103442,51.0583,13.3332,3963.42353853575,3963.42353853575,28.9648622122722,1550.88479619124,413.583495560258,34148.4840737091,563.3635406539,1197.43255978364,40417.0040555428,2244.71018166826
"DEE","DE",108.7,12.7,7.1,5.2,81.2921052631579,1429.03879699522,10858.9130434783,1172780,4.8,102.5,0.000974584263949677,0.0255250863183678,52.011,11.6996,3963.42353853575,3963.42353853575,68.8592306661892,2026.94390604625,410.382443449965,62703.0839509345,734.469300367873,1501.01240123165,66161.8784918046,2903.48289716245
"DEF","DE",188.2,14.8,9.3,7.4,81.2921052631579,1665.49643066693,130,990450,3.4,107.6,0.00132586121573553,0.0127231019780127,54.0804,9.8212,3963.42353853575,3963.42353853575,42.75609698141,1716.76642767875,430.612172507975,64636.5952159484,878.85657728755,1654.00911159378,67528.0746807688,3383.91120793533
"DEG","DE",132.4,9.6,5.7,6,81.2921052631579,1475.28348290696,150,780670,4.2,103.3,0.00165090293421981,0.0326365041731939,50.9044,11.0218,3963.42353853575,3963.42353853575,65.1075430608172,1901.21019341158,419.100600081186,64070.12728171,747.171856089263,1598.72043304093,70757.1747716532,2997.44161606616
"EE00","EE",30.5,7.5,8.9,17.1,79,453.01,3258,957510,6.8,120,0.00165992463370294,0.0412543191148674,58.6709,25.8548,3422.48467993402,6743.38738999049,89.0505170898496,1322.22101828776,346.356894330673,78676.1386210135,1659.92463370294,1037.27230589567,88942.7649558758,2115.34218827127
"ES11","ES",92,12,9.2,11.6,84,329.67,5248,655520,12,109.6,0.00430586636828644,0.0362267038457895,42.7431,-7.8957,3682.98285497774,5153.42308420953,44.3984885620915,1697.44452732784,474.766446433646,69297.1784124278,2845.41654826182,1030.29980107985,69242.427269821,2384.00357878659
"ES12","ES",96.6,8.9,12.1,11.1,83.2,345.79,1405,336310,14.1,106.8,0.00287761593641764,0.0385072514547566,43.3017,-5.9972,3434.9822700778,4935.42539545137,126.766244740647,1706.4498051328,398.960053940577,61745.079738031,1986.45793155161,1068.93813812753,67170.8383264681,2332.43137936145
"ES13","ES",110.5,9.1,10.5,11.9,83.9,328.34,1171,222950,12.1,109.7,0.00556158437330439,0.0359605623742247,43.1875,-4.0606,4040.43352541605,5849.70844179482,180.014011277705,1251.22770386752,515.120503856535,64862.9436046072,1511.02014464584,1082.50856817105,66993.6193740256,2436.07526253975
"ES21","ES",303.7,6.5,8.2,13.1,84.5,325.71,6353,187250,9.5,109.5,0.0106091986891644,0.0569758507686587,43.0651,-2.5863,4075.75949985794,6361.86480706105,45.7207357416481,1504.47345028043,561.864989781366,56004.0984168198,606.631468641995,1557.6404959395,79246.7263370331,3402.98418829695
"ES22","ES",63.1,10.8,9.9,13.6,85,335.41,240,546890,10.1,111.1,0.0128756803029357,0.0644911189336323,42.7117,-1.6508,4172.52467216748,6699.83199011742,137.014115571911,1237.60679594644,537.692552577345,64669.1819914122,1724.27186832168,1450.26191567823,78383.3580346956,3194.70258595084
"ES23","ES",62.6,14.6,9.1,10.5,84.2,323.43,17601.9333333333,215840,10.8,106.3,0.0151583731890824,0.0712687263991188,42.3132,-2.4332,10987.2092323957,6404.24649686166,323.874516904008,1647.82816501071,348.177291877024,61711.5762619053,2623.99068150957,1155.22060196688,76087.9116009508,2806.49255691907
